model,alert_rate,recall
"Reports within 100 km, 28 d",0.48000000000000004,0.8510569630466355
"Reports within 100 km, 28 d",0.5,0.8588026464418267
"Reports within 100 km, 28 d",0.52,0.8636436985638212
"Reports within 100 km, 28 d",0.54,0.8663062772309181
"Reports within 100 km, 28 d",0.56,0.8668710666451509
"Reports within 100 km, 28 d",0.5800000000000001,0.8771986445054059
"Reports within 100 km, 28 d",0.6,0.8869614329514282
"Reports within 100 km, 28 d",0.62,0.8930127481039213
"Reports within 100 km, 28 d",0.64,0.8938195901242537
"Reports within 100 km, 28 d",0.66,0.8962401161852509
"Reports within 100 km, 28 d",0.68,0.8993061158625141
"Reports within 100 km, 28 d",0.7000000000000001,0.9039857995804421
"Reports within 100 km, 28 d",0.7200000000000001,0.9168145877037276
"Reports within 100 km, 28 d",0.74,0.9242375342907858
"Reports within 100 km, 28 d",0.76,0.9301274810392125
"Reports within 100 km, 28 d",0.78,0.9341616911408747
"Reports within 100 km, 28 d",0.8,0.9373890592222043
"Reports within 100 km, 28 d",0.8200000000000001,0.9441665321929966
"Reports within 100 km, 28 d",0.8400000000000001,0.9515087945780216
"Reports within 100 km, 28 d",0.86,0.9600613199935453
"Reports within 100 km, 28 d",0.88,0.9665967403582378
"Reports within 100 km, 28 d",0.9,0.9724866871066645
"Reports within 100 km, 28 d",0.92,0.9789414232693239
"Reports within 100 km, 28 d",0.9400000000000001,0.9860416330482491
"Reports within 100 km, 28 d",0.9600000000000001,0.9912054219783767
"Reports within 100 km, 28 d",0.98,0.9931418428271744
"Reports within 100 km, 28 d",1.0,1.0
"Reports within 100 km, 28 d",,
Model: calendar + reports,0.02,0.18613845409068905
Model: calendar + reports,0.04,0.27779570760045186
Model: calendar + reports,0.06,0.35065354203646926
Model: calendar + reports,0.08,0.4061642730353397
Model: calendar + reports,0.1,0.45780216233661447
Model: calendar + reports,0.12000000000000001,0.5053251573341939
Model: calendar + reports,0.13999999999999999,0.5459093109569146
Model: calendar + reports,0.16,0.5877844118121672
Model: calendar + reports,0.18,0.6198967242213974
Model: calendar + reports,0.19999999999999998,0.6496691947716637
Model: calendar + reports,0.22,0.6786348233015975
Model: calendar + reports,0.24,0.7007422946587059
Model: calendar + reports,0.26,0.726157818299177
Model: calendar + reports,0.28,0.7464902372115539
Model: calendar + reports,0.30000000000000004,0.7648055510730999
Model: calendar + reports,0.32,0.7790059706309505
Model: calendar + reports,0.34,0.7919961271583024
Model: calendar + reports,0.36000000000000004,0.8017589156043247
Model: calendar + reports,0.38,0.8143456511215104
Model: calendar + reports,0.4,0.8253993868000645
Model: calendar + reports,0.42000000000000004,0.8369372276908181
Model: calendar + reports,0.44,0.8472648055510731
Model: calendar + reports,0.46,0.8576730676133613
Model: calendar + reports,0.48000000000000004,0.8703404873325803
Model: calendar + reports,0.5,0.8789736969501372
Model: calendar + reports,0.52,0.887606906567694
Model: calendar + reports,0.54,0.8939002743262869
Model: calendar + reports,0.56,0.9001129578828465
Model: calendar + reports,0.5800000000000001,0.905276746812974
Model: calendar + reports,0.6,0.9111666935614007
Model: calendar + reports,0.62,0.9162497982894949
Model: calendar + reports,0.64,0.9233500080684202
Model: calendar + reports,0.66,0.9271421655639825
Model: calendar + reports,0.68,0.9310956914636114
Model: calendar + reports,0.7000000000000001,0.9357753751815394
Model: calendar + reports,0.7200000000000001,0.9410198483137002
Model: calendar + reports,0.74,0.9460222688397611
Model: calendar + reports,0.76,0.9511860577698886
Model: calendar + reports,0.78,0.9561077940939164
Model: calendar + reports,0.8,0.9589317411650798
Model: calendar + reports,0.8200000000000001,0.9628045828626755
Model: calendar + reports,0.8400000000000001,0.9662740035501048
Model: calendar + reports,0.86,0.969985476843634
Model: calendar + reports,0.88,0.9733742133290302
Model: calendar + reports,0.9,0.977327739228659
Model: calendar + reports,0.92,0.9849120542197838
Model: calendar + reports,0.9400000000000001,0.9909633693722769
Model: calendar + reports,0.9600000000000001,0.9938680006454736
Model: calendar + reports,0.98,0.9974181055349363
Model: calendar + reports,1.0,1.0
Model: calendar + reports,,
Model: weather,0.02,0.07931257059867677
Model: weather,0.04,0.14321445860900436
Model: weather,0.06,0.2070356624172987
Model: weather,0.08,0.2652089720832661
Model: weather,0.1,0.31305470388897855
Model: weather,0.12000000000000001,0.36146522510892365
Model: weather,0.13999999999999999,0.40188801032757787
Model: weather,0.16,0.44037437469743423
Model: weather,0.18,0.4788607390672906
Model: weather,0.19999999999999998,0.5121026303049863
Model: weather,0.22,0.5438922059060836
Model: weather,0.24,0.5731805712441504
Model: weather,0.26,0.6029530417944167
Model: weather,0.28,0.6345005647894142
Model: weather,0.30000000000000004,0.6640309827335807
Model: weather,0.32,0.6919477166370824
Model: weather,0.34,0.7180087138938196
Model: weather,0.36000000000000004,0.7422139745037921
Model: weather,0.38,0.7651282878812329
Model: weather,0.4,0.7872357592383411
Model: weather,0.42000000000000004,0.8076488623527514
